ticker,date,open,close,bid,ask,52_week_low,52_week_high,volume,avg_volume,market_cap,pe_ratio,eps,currency,fetched_at
AAPL,2026-02-22,258.9700012207031,264.58,251.39,277.47,169.21,288.62,42070499.0,48279330.0,3888777003008,33.4488,7.91,USD,2026-02-22 21:58:17
GOOGL,2026-02-22,304.32000732421875,314.98,295.41,326.1,140.53,349.0,53210820.0,36532068.0,3810313371648,29.164816,10.8,USD,2026-02-22 21:58:18
AMZN,2026-02-22,204.759994506836,210.11,210.08,219.44,161.38,258.6,65881611.0,46740750.0,2255514238976,29.344973,7.16,USD,2026-02-22 21:58:19
MSFT,2026-02-22,396.1099853515625,397.23,396.63,397.15,344.79,555.45,34015249.0,31280636.0,2952363507712,24.873512,15.97,USD,2026-02-22 21:58:20
NVDA,2026-02-22,186.57000732421875,189.82,189.54,189.95,86.62,212.19,178422337.0,171328373.0,4621547864064,46.98515,4.04,USD,2026-02-22 21:58:20
TSLA,2026-02-22,408.2999877929688,411.82,411.55,412.52,214.25,498.83,57912225.0,66820915.0,1545326559232,384.87848,1.07,USD,2026-02-22 21:58:21
META,2026-02-22,639.6900024414062,655.66,654.81,665.0,479.8,796.25,14183512.0,16227781.0,1658528202752,27.936089,23.47,USD,2026-02-22 21:58:21
NFLX,2026-02-22,76.61000061035156,78.67,78.52,78.71,75.23,134.115,32411317.0,47044525.0,333709443072,31.094862,2.53,USD,2026-02-22 21:58:22
AAPL,2026-03-02,262.44000244140625,264.72,264.45,265.05,169.21,288.62,41576035.0,48357335.0,3890834833408,33.50886,7.9,USD,2026-03-02 23:35:03
GOOGL,2026-03-02,303.1300048828125,306.52,306.1,318.32,140.53,349.0,34310346.0,34436084.0,3707972354048,28.32902,10.82,USD,2026-03-02 23:35:04
AMZN,2026-03-02,204.5500030517578,208.39,208.04,208.49,161.38,258.6,43410499.0,47532393.0,2237050126336,29.10475,7.16,USD,2026-03-02 23:35:04
MSFT,2026-03-02,392.760009765625,398.55,398.16,398.79,344.79,555.45,32492755.0,32834928.0,2962173984768,24.94055,15.98,USD,2026-03-02 23:35:04
NVDA,2026-03-02,174.8000030517578,182.48,182.3,182.62,86.62,212.19,206465519.0,174499844.0,4435176587264,37.16497,4.91,USD,2026-03-02 23:35:04
TSLA,2026-03-02,390.3200073242188,403.32,403.06,414.2,214.25,498.83,52697218.0,66229113.0,1513430843392,370.01834,1.09,USD,2026-03-02 23:35:05
META,2026-03-02,637.1599731445312,653.56,653.09,654.25,479.8,796.25,9725792.0,15769198.0,1653216247808,27.858484,23.46,USD,2026-03-02 23:35:05
NFLX,2026-03-02,95.33000183105467,97.09,97.08,100.0,75.01,134.115,79614084.0,51828962.0,411845033984,38.375492,2.53,USD,2026-03-02 23:35:05
AAPL,2026-03-03,263.4800109863281,263.75,263.5,276.41,169.21,288.62,37994695.0,48329683.0,3876577869824,33.42839,7.89,USD,2026-03-03 23:35:05
GOOGL,2026-03-03,298.5899963378906,303.58,282.94,318.96,140.53,349.0,35347940.0,34317069.0,3672407277568,28.0573,10.82,USD,2026-03-03 23:35:05
AMZN,2026-03-03,203.22999572753903,208.73,197.07,208.83,161.38,258.6,42680032.0,47712267.0,2240699957248,29.111574,7.17,USD,2026-03-03 23:35:05
MSFT,2026-03-03,393.1400146484375,403.93,399.0,404.47,344.79,555.45,37947881.0,32849859.0,3002160381952,25.277222,15.98,USD,2026-03-03 23:35:06
NVDA,2026-03-03,178.4774932861328,180.05,179.94,180.24,86.62,212.19,169842350.0,175255515.0,4376115281920,36.670063,4.91,USD,2026-03-03 23:35:06
TSLA,2026-03-03,395.0899963378906,392.43,392.18,392.79,214.25,498.83,62317429.0,65680132.0,1472566788096,360.0275,1.09,USD,2026-03-03 23:35:06
META,2026-03-03,648.2899780273438,655.08,654.51,655.44,479.8,796.25,10683391.0,15747159.0,1657061244928,27.923275,23.46,USD,2026-03-03 23:35:06
NFLX,2026-03-03,95.93000030517578,97.7,97.61,97.84,75.01,134.115,58954497.0,52277786.0,414432591872,38.6166,2.53,USD,2026-03-03 23:35:07
AAPL,2026-03-04,264.6499938964844,262.52,262.13,272.94,169.21,288.62,39258957.0,48236911.0,3858499371008,33.18837,7.91,USD,2026-03-04 23:38:22
GOOGL,2026-03-04,302.8900146484375,303.13,287.45,317.98,140.53,349.0,29310644.0,34388986.0,3666963857408,28.041628,10.81,USD,2026-03-04 23:38:23
AMZN,2026-03-04,210.47000122070312,216.82,216.42,216.98,161.38,258.6,54286831.0,47670116.0,2327545643008,30.197773,7.18,USD,2026-03-04 23:38:23
MSFT,2026-03-04,401.1619873046875,405.2,404.82,405.48,344.79,555.45,35644323.0,33118998.0,3011599663104,25.325,16.0,USD,2026-03-04 23:38:23
NVDA,2026-03-04,180.3699951171875,183.04,182.73,183.15,86.62,212.19,175709563.0,175436923.0,4448787103744,37.3551,4.9,USD,2026-03-04 23:38:23
TSLA,2026-03-04,397.8450012207031,405.94,405.67,406.24,214.25,498.83,67670354.0,65521808.0,1523262160896,369.03635,1.1,USD,2026-03-04 23:38:24
META,2026-03-04,657.9600219726562,667.73,667.2,667.84,479.8,796.25,10709535.0,15448522.0,1689059983360,28.38988,23.52,USD,2026-03-04 23:38:24
NFLX,2026-03-04,97.12000274658205,98.66,98.64,98.81,75.01,134.115,52115674.0,52403584.0,418504835072,38.996048,2.53,USD,2026-03-04 23:38:24
AAPL,2026-03-05,260.7449951171875,260.29,259.88,260.33,169.21,288.62,49424671.0,48111262.0,3825723244544,32.9481,7.9,USD,2026-03-05 23:57:23
GOOGL,2026-03-05,303.0050048828125,300.88,300.63,301.11,140.53,349.0,35513981.0,34400696.0,3639745445888,27.807764,10.82,USD,2026-03-05 23:57:23
AMZN,2026-03-05,215.8500061035156,218.94,209.2,219.14,161.38,258.6,60693507.0,48035867.0,2350303674368,30.493038,7.18,USD,2026-03-05 23:57:24
MSFT,2026-03-05,404.43499755859375,410.68,406.0,410.76,344.79,555.45,38460684.0,33342961.0,3052328976384,25.731829,15.96,USD,2026-03-05 23:57:24
NVDA,2026-03-05,181.1699981689453,183.34,183.12,183.53,86.62,212.19,190766610.0,176007776.0,4456078901248,37.340122,4.91,USD,2026-03-05 23:57:25
TSLA,2026-03-05,401.5700073242188,405.55,405.23,405.89,214.25,498.83,51653564.0,65723318.0,1521798742016,368.6818,1.1,USD,2026-03-05 23:57:25
META,2026-03-05,662.1500244140625,660.57,658.04,675.0,479.8,796.25,13249534.0,15272440.0,1670948454400,28.109362,23.5,USD,2026-03-05 23:57:25
NFLX,2026-03-05,98.49500274658205,99.17,99.09,99.22,75.01,134.115,53241615.0,51035505.0,420668178432,39.197628,2.53,USD,2026-03-05 23:57:26
AAPL,2026-03-06,258.739990234375,257.46,256.93,271.51,169.21,288.62,40628988.0,48136180.0,3784127807488,32.54867,7.91,USD,2026-03-06 23:35:33
GOOGL,2026-03-06,296.1099853515625,298.52,298.17,298.69,140.53,349.0,25386636.0,34423123.0,3611196391424,27.64074,10.8,USD,2026-03-06 23:35:34
AMZN,2026-03-06,214.9900054931641,213.21,213.08,213.64,161.38,258.6,50910303.0,48250980.0,2288792633344,29.777935,7.16,USD,2026-03-06 23:35:34
MSFT,2026-03-06,409.2999877929688,408.96,408.77,409.55,344.79,555.45,30792826.0,33436731.0,3039545262080,25.59199,15.98,USD,2026-03-06 23:35:35
NVDA,2026-03-06,179.83999633789062,177.82,176.85,178.47,86.62,212.19,187239412.0,176386820.0,4321915437056,36.289795,4.9,USD,2026-03-06 23:35:35
TSLA,2026-03-06,398.18499755859375,396.73,396.45,397.57,214.25,498.83,63495510.0,65493553.0,1488702275584,363.97247,1.09,USD,2026-03-06 23:35:36
META,2026-03-06,647.9000244140625,644.86,632.0,675.0,479.8,796.25,13000591.0,15240041.0,1631209127936,27.417517,23.52,USD,2026-03-06 23:35:36
NFLX,2026-03-06,99.37999725341795,99.02,98.89,99.11,75.01,134.115,39306944.0,51074426.0,420031889408,39.13834,2.53,USD,2026-03-06 23:35:37
AAPL,2026-03-07,258.6300048828125,257.46,256.93,271.51,169.21,288.62,40628988.0,48022439.0,3784127807488,32.58987,7.9,USD,2026-03-07 23:30:58
GOOGL,2026-03-07,296.0899963378906,298.52,298.17,298.69,140.53,349.0,25386636.0,34278562.0,3611196391424,27.61517,10.81,USD,2026-03-07 23:30:58
AMZN,2026-03-07,214.9900054931641,213.21,213.08,213.64,161.38,258.6,50910303.0,48299313.0,2288792633344,29.777935,7.16,USD,2026-03-07 23:30:59
MSFT,2026-03-07,409.2000122070313,408.96,408.77,409.55,344.79,555.45,30792826.0,33399640.0,3039545262080,25.575985,15.99,USD,2026-03-07 23:30:59
NVDA,2026-03-07,179.83999633789062,177.82,176.85,178.47,86.62,212.19,187239412.0,176595214.0,4321915437056,36.21589,4.91,USD,2026-03-07 23:30:59
TSLA,2026-03-07,398.0899963378906,396.73,396.45,397.57,214.25,498.83,63495510.0,65469460.0,1488702275584,370.7757,1.07,USD,2026-03-07 23:31:00
META,2026-03-07,647.9000244140625,644.86,632.0,675.0,479.8,796.25,13000591.0,15205870.0,1631209127936,27.475927,23.47,USD,2026-03-07 23:31:00
NFLX,2026-03-07,99.33000183105467,99.02,98.89,99.11,75.01,134.115,39306944.0,50912824.0,420031889408,39.13834,2.53,USD,2026-03-07 23:31:00
AAPL,2026-03-08,258.6300048828125,257.46,256.93,271.51,169.21,288.62,41120042.0,48185950.0,3784127807488,32.58987,7.9,USD,2026-03-08 23:32:19
GOOGL,2026-03-08,296.0899963378906,298.48,298.17,298.69,140.53,349.0,25576916.0,34284715.0,3610712735744,27.611471,10.81,USD,2026-03-08 23:32:19
AMZN,2026-03-08,214.9900054931641,213.12,213.08,213.64,161.38,258.6,51152716.0,48520648.0,2287826370560,29.765364,7.16,USD,2026-03-08 23:32:20
MSFT,2026-03-08,409.2000122070313,408.96,408.77,409.55,344.79,555.45,31123859.0,33590203.0,3039545262080,25.575985,15.99,USD,2026-03-08 23:32:20
NVDA,2026-03-08,179.83999633789062,177.885,176.85,178.47,86.62,212.19,189021949.0,176132166.0,4323494854656,36.229126,4.91,USD,2026-03-08 23:32:21
TSLA,2026-03-08,398.0899963378906,396.73,396.45,397.57,214.25,498.83,64054561.0,65407855.0,1488702275584,370.7757,1.07,USD,2026-03-08 23:32:21
META,2026-03-08,647.9000244140625,644.86,632.0,675.0,479.8,796.25,13159356.0,15239951.0,1631209127936,27.475927,23.47,USD,2026-03-08 23:32:21
NFLX,2026-03-08,99.33000183105467,99.02,98.89,99.11,75.01,134.115,41196294.0,50079600.0,420031889408,39.13834,2.53,USD,2026-03-08 23:32:22
AAPL,2026-03-09,255.69000244140625,259.88,259.67,260.11,169.21,288.62,38153594.0,48457011.0,3819697078272,32.896202,7.9,USD,2026-03-09 23:36:01
GOOGL,2026-03-09,294.3599853515625,306.36,285.54,319.34,140.53,349.0,29263937.0,34354049.0,3706036944896,28.340424,10.81,USD,2026-03-09 23:36:01
AMZN,2026-03-09,210.4600067138672,213.49,213.68,221.2,161.38,258.6,54486876.0,48905037.0,2291798376448,29.817041,7.16,USD,2026-03-09 23:36:02
MSFT,2026-03-09,404.9150085449219,409.41,408.53,412.49,344.79,555.45,30073894.0,33910442.0,3042889957376,25.604128,15.99,USD,2026-03-09 23:36:02
NVDA,2026-03-09,176.8300018310547,182.65,182.27,182.97,86.62,212.19,176552775.0,176664581.0,4439307976704,36.240078,5.04,USD,2026-03-09 23:36:02
TSLA,2026-03-09,390.0499877929688,398.68,398.25,399.05,214.25,498.83,66822812.0,65459388.0,1496019501056,369.14813,1.08,USD,2026-03-09 23:36:03
META,2026-03-09,634.7525024414062,647.39,646.84,675.0,479.8,796.25,13463314.0,15277966.0,1637608980480,27.583725,23.47,USD,2026-03-09 23:36:03
NFLX,2026-03-09,97.69000244140624,98.32,97.0,98.33,75.01,134.115,48540328.0,50051362.0,417062584320,38.86166,2.53,USD,2026-03-09 23:36:04
AAPL,2026-03-10,257.69500732421875,260.83,244.62,261.09,169.21,288.62,26403306.0,48544150.0,3833659654144,33.016453,7.9,USD,2026-03-10 23:36:00
GOOGL,2026-03-10,306.8399963378906,307.04,306.8,307.48,140.53,349.0,23146252.0,34283967.0,3714263023616,28.40333,10.81,USD,2026-03-10 23:36:00
AMZN,2026-03-10,214.125,214.33,203.3,214.49,161.38,258.6,35447311.0,49172072.0,2300815605760,29.892609,7.17,USD,2026-03-10 23:36:00
MSFT,2026-03-10,410.0299987792969,405.76,405.05,405.65,344.79,555.45,31601780.0,33814789.0,3015761723392,25.40764,15.97,USD,2026-03-10 23:36:00
NVDA,2026-03-10,182.3999938964844,184.77,184.21,185.06,86.62,212.19,178278679.0,176907150.0,4490835001344,37.708164,4.9,USD,2026-03-10 23:36:01
TSLA,2026-03-10,402.0549926757813,399.235,398.74,399.14,214.25,498.83,59079142.0,65522916.0,1498102104064,369.66202,1.08,USD,2026-03-10 23:36:01
META,2026-03-10,653.5599975585938,654.07,649.0,653.25,479.8,796.25,9827977.0,15220055.0,1654506389504,27.832766,23.5,USD,2026-03-10 23:36:01
NFLX,2026-03-10,97.80500030517578,96.94,96.91,97.18,75.01,134.115,40920580.0,49619093.0,411208777728,38.316208,2.53,USD,2026-03-10 23:36:01
AAPL,2026-03-11,261.2099914550781,260.81,247.96,274.36,169.21,288.62,25826274.0,48499306.0,3833366052864,33.013924,7.9,USD,2026-03-11 23:34:49
